year,china,usa
1982,18998892285,2.45E+11
1983,19361581662,2.34E+11
1984,23050102235,2.51E+11
1985,25879956449,2.50E+11
1986,30713441672,2.63E+11
1987,57721617984,2.93E+11
1988,73229830461,3.66E+11
1989,89275520983,4.04E+11
1990,1.06E+11,4.40E+11
1991,1.32E+11,4.74E+11
1992,1.17E+11,4.85E+11
1993,1.52E+11,5.15E+11
1994,1.94E+11,5.88E+11
1995,2.36E+11,6.85E+11
1996,2.45E+11,6.69E+11
1997,2.87E+11,7.56E+11
1998,2.90E+11,7.59E+11
1999,3.18E+11,7.70E+11
2000,4.04E+11,8.59E+11
2001,4.23E+11,8.16E+11
2002,5.06E+11,7.64E+11
2003,6.58E+11,8.09E+11
2004,8.71E+11,9.01E+11
2005,1.09E+12,9.93E+11
2006,1.34E+12,1.16E+12
2007,1.70E+12,1.35E+12
2008,2.00E+12,1.55E+12
2009,1.72E+12,1.31E+12
2010,2.21E+12,1.56E+12
2011,2.60E+12,1.81E+12
2012,2.79E+12,1.88E+12
2013,2.97E+12,1.91E+12
2014,3.09E+12,1.96E+12
2015,2.98E+12,1.83E+12
2016,2.67E+12,1.76E+12
2017,2.99E+12,1.86E+12
2018,2.32E+12,1.95E+12
